ID,Loại tin,Giá,Diện tích (m²),Hướng nhà,Hướng ban công,Pháp lý,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Số tầng,Nội thất,URL,Địa chỉ,Mô tả,Khoảng giá,Khoảng diện tích,Thành phố
83,Nhà đất bán,11000000000,95,Tây Nam,Tây Nam,Sổ đỏ/ Sổ hồng,,,2,4,5,Nội thất đầy đủ,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-23-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-ban-nhanh-can-shop-house-lk-95m-chi-1x-ty-x-nho-xiu-o-8-7-7-7-i-5-5-5-5-pr37753540,"Dự án Vinhomes Ocean Park Gia Lâm, Gia Lâm, Hà Nội",Liền kề Shop House 95M XÂY 5 TẦNGHướng: Tây Nam.Diện tích: 95mTổng DTXD : 260m Xây : 5 tầng.Hiện trạng : Hoàn thiện đẹp vừa mới xong và có thang máy .T1 T2 hoàn thiện kinh doanhT3 hoàn thiện 2 phòng ngủT4 phòng khách và bếp .KẾ Cạnh vincom và cạnh khu shop TMDVView thoáng ĐẸPLH E Tuấn Anh để đi xem nhà ngay 24/7 : SĐT0877 715 ***,Lớn hơn 5000000000,Từ 50 đến 100,Hà Nội
84,Nhà đất bán,33000000000,165,Đông Nam,Đông Nam,Sổ đỏ/ Sổ hồng,,,,,4,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-song-lap-165m2-huong-dong-nam-ngoc-trai-be-can-dong-nam-duy-nhat-con-ban-33-ty-pr37752776,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","Chủ nhà cần bán nhanh căn biệt thự song lập nằm trong đảo Ngọc Trai bé.Diện tích đất 165m².Hướng Đông Nam.Cả dự án chỉ có 30 căn. Đã sửa ở 15 căn và chỉ có duy nhất căn này chủ nhà thiện chí bán.Là dòng song lập hướng đông nam có diện tích đất và diện tích xây dựng lớn nhất. Bán rồi không có cơ hội mua lại.Diện tích xây dựng 88m²/sàn.Tổng diện tích xây dựng 298m².Mặt tiền 9m.Nhà gần hồ, gần công viên. Chủ sở hữu sẽ là những cư dân được hưởng đặc quyền VIp nhất tại Vinhomes ocean park.Giá bán: 33 tỷ bao phí. có thương lượng với khách mua thiện chí.Liên hệ em Thắng:0906 285 ***",Lớn hơn 5000000000,Từ 100 đến 500,Hà Nội
85,Nhà đất bán,2400000000,70,,Đông Bắc,Sổ hồng,,,3,2,,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vu-huy-tan-phuong-3-19-prj-chung-cu-mieu-noi/2-ty-4-con-tl-manh-chinh-chu-goc-70m2-3pn-tang-kem-them-that-pr37752748,"Dự án Miếu Nổi, Đường Vũ Huy Tấn, Phường 3, Bình Thạnh, Hồ Chí Minh","2 tỷ 4 còn TL mạnh chính chủ căn góc Miếu Nổi 70m² 3PN tặng kèm thêm nội thất.Vợ chồng em chuyển về quê Đà Nẵng nên rất thiện chí bán nhanh.Vị trí siêu trung tâm, cách Q1 chỉ cây Cầu Bông!Căn góc 3PN có cả 3 mặt thoáng mát.Ban công 2 mặt rộng rãi, City view Quận 1 xịn sò.Tiện ích bạt ngàn từ chợ ngay dưới chân chung cư, chợ Vạn Kiếp, siêu thị Coop Mart, trường học, BV Gia Định, Hoàn Mỹ, khu ăn uống nhộn nhịp Phan Xích Long, các trường ĐH. Mua ở hoặc cho thuê lại siêu đỉnh!Một tầng chỉ 4 căn hộ nên yên tĩnh, riêng tư và cực kỳ an ninh, không tốn phí quản lý!Tặng nội thất cơ bản.Giá 2,4 tỷ. Giá chốt bất ngờ với khách mua nhanh. Sổ hồng sở hữu lâu dài sẵn sàng giao dịch!Liên hệ:0963 764 ***c. Minh (số có Zalo).Xem nhà 24/7.",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hồ Chí Minh
86,Nhà đất bán,3200000000,66,,,Hợp đồng mua bán,,,2,2,,Nội thất đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-tonkin-vinhomes-smart-city/re-nhat-tk2-2pn-66m2-chi-3-2xty-full-noi-that-cao-cap-view-thoang-nhat-2-pr37752591,"Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.","Hotline:0889 996 ***Zalo/ĐT 24/7).Căn hộ 2PN view thoáng nhất tòa căn hộ Tonkin 2.Tiện ích đẳng cấp 5* duy nhất tại Hà Nội.Full nội thất nhập khẩu hạng sang.(*) Lý do lựa chọn phân khu The Tonkin:1. Là phân khúc căn hộ Ruby cao cấp nhất Vinhomes Smart City có tiêu chuẩn quản lý, dịch vụ & thiết kế, nội thất bàn giao tương đương các dự án nổi tiếng Vinhomes West Point, Sky Lake, Green Bay.2. Vị trí cạnh nhà để xe nổi 10 tầng, Gần hồ trung tâm, Trường Vinschool, bể bơi, phòng gym, bể sục trị liệu, trung tâm mua sắm tiện lợi.3. Mật độ căn hộ chỉ 16 căn/sàn; 7 thang máy; Hành lang rộng 1.8m, có điều hoà; Sảnh lounge sang trọng bố trí nhân viên lễ tân & an ninh thường trực.4. Sử dụng miễn phí gần như toàn bộ các tiện ích như: Bể bơi, phòng gym, vườn nướng BBQ, công viên, vườn nhật, sân chơi thể thao.LH:0889 996 ***để xem thực tế và hỗ trợ thủ tục.(*) Chính sách ưu đãi khủng mới nhất T4/2023 này thực sự tạo ra cơn sốt giao dịch chưa từng có tại The Tonkin & chỉ dành cho 08 khách hàng cuối cùng:1. Gói quà tặng lộc vàng đón xuân lên tới 120 triệu.2. Thanh toán sớm chiết khấu lên tới 19,8%.3. Dễ dàng sở hữu với số vốn tự có chỉ cần 30% từ 400tr ký HĐMB.+ Hỗ trợ vay ngân hàng đến 70% lên tới 24 tháng miễn gốc lãi 0%.4. CK tới 1% BL ngân hàng.5. CK dòng tiền tới 7,5%/năm.Anh chị liên hệ:0889 996 ***để được hỗ trợ thông tin chính xác và giá tốt nhất.",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội.
87,Nhà đất bán,19900000000,85,,,,,,,,,,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-xien-xa-tan-trieu-prj-rue-de-charme/-214-tam-diem-khu-dat-vang-khong-chi-p-ma-con-sieu-hiem-pr37736203,"Rue De Charme, 214, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội","Rue De Charme 214 Nguyễn Xiển (KĐT mới Hạ Đình) tâm điểm khu đất ""vàng"", không chỉ đẹp mà còn siêu Hiếm. Với tổ hợp dự án liền kề, shophouse chỉ hữu hạn với 118 lô sản phẩm trong tổng thể khu đô thị Hạ Đình đã hoàn thiện hạ tầng quy hoạch hiện đại, dân cư kinh doanh sầm uất, Rue de charme 214 Nguyễn Xiển, được Chủ đầu tư chau chuốt tỉ mỉ từng chi tiết nhỏ nhất trong phương án thiết kế xây dựng.- Vị trí cực đẹp, mặt đường rộng từ 11.5m đến 30m, thuộc Khu đô thị Hạ Đình có đầy đủ tiện ích All - in - one, cách ngã tư Nguyễn Trãi - Nguyễn Xiển 300m. Đường Vành đai 3 trên cao 500m. Cực Thuận tiện khi di chuyển lên Phố Thông qua trục Nguyễn trãi. Đặc biệt kết nối đi các tỉnh thành thuộc vành đai 3 trên cao mà khôn hề tắc đường khi di chuyển về các tỉnh: Ninh Bình, Hà nam, Hưng Yên, Hải Dương, vvvvvv Bắc Ninh, Bắc Giang.- Lên Đường vành đai 3 trên cao hướng Cao tốc Thăng Long Phạm Hùng, Nôi Bài đi các Tỉnh Thuộc Tây Bắc: Hòa Bình, Sơn La, Vĩnh Phúc, Phú Thọ, Lào cai, vvvvv Cực kỳ thuận tiện. Rất phù hợp với các Quý khách hàng thuộc địa bàn các tỉnh Thành trên.- Tiềm năng tăng giá tương lai khi dự án được bao quanh bởi 2 trục đường lớn sắp quy hoạch 30m Lương Thế Vinh kéo dài và đường 250 Nguyễn Xiển.- Diện tích đất 85 - 180m xây dựng đến 90% diện tích đất, mặt tiền rộng thoáng 5.5m - 8m, xây theo phong cách tân cổ điển 5 tầng 1 tum.- Tiện ích xung quanh dự án: Trường học, TTTM 5 tầng, bệnh viện đa khoa, công viên cây xanh, khu chung cư cao 25 tầng.- Pháp lý minh bạch đầy đủ Sổ đỏ sở hữu lâu dài.- Những lý do quá nhiều khách hàng mua dự án làm dậy sóng thị trường BĐS: Rue De Charme - 214 Nguyễn Xiển - Hà Nội:+ Dự án sở hữu phố đi bộ sầm uất The Carnaby 214 là nơi kinh doanh trung tâm Quận Thanh Xuân và Thanh Trì, được duy trì và quản lý vận hành bền bỉ trong tương lai, khai trương vào 2/9/2023.+ Dự án có chính sách bán hàng hấp dẫn, chiết khấu tới 6.6% khi khách hàng thanh toán sớm hoặc hỗ trợ 0% trong vòng 12 tháng với khoản vay 65% giá trị sản phẩm.+ Dự án mà quý khách hàng được tặng 05 năm phí quản lý vận hành khi mua sản phẩm trong tháng 7.+ Chủ đầu tư uy tín luôn đầu tư hạ tầng/ tiện ích / sản phẩm một cách tốt nhất cho Quý khách hàng.+ Sở hữu một sản phẩm thấp tầng nội đô luôn là mơ ước của tất cả mọi người và tiềm năng tăng giá bền vững trong tương lai.+ Hiện tại dự án đang là điểm trũng về giá so với các khu vực xung quanh: Cụ thể thể như sau:Đầu đường Lương Thế Vinh phía Đại Lộ Thăng Long biệt thự Vinhomes Green Bay đang bán 600 - 700 tr/m². (Có hình minh họa kèm theo phần hình ảnh).- Cuối Lương Thế Vinh là khu đô thị The Manor đang giao dịch 300 tr - 450 tr/m².- Vậy khi đường Lương Thế Vinh kéo dài đi qua dự án từ đầu đường Nguyễn trãi qua dự án Rue de Charme đến đầu khu đô thị The Manor là 1.8km làm xong thì giá tại dự án Rue De Charme là bao nhiêu? Chắc chắn phải tiệm cận giá tại dự án The Manor Central Park.- Giá dự án: 19 - 38 tỷ.- Liên hệ: Chuyên gia tư vấn BĐS - Tổng Giám đốc Mland Pro Mr Thành0936 356 ***",Lớn hơn 5000000000,Từ 50 đến 100,Hà Nội
88,Nhà đất bán,3700000000,108,Nam,Đông Nam,Sổ đỏ/ Sổ hồng,,,3,2,,Nội thất đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-duong-van-be-phuong-vinh-tuy-prj-sunshine-garden/sieu-thi-bat-dong-san-va-quy-gia-tot-nhat-mr-cao-tuan-anh-0889108888-pr37486495,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","Chủ nhà có nhu cầu mua bán, cho thuê căn hộ liên hệ em Cao Tuấn Anh:0889 108 ***để được phục vụ tốt nhất, nhanh nhất.Tôi là cư dân dự án Sunshine Garden, căn hộ G1 - 1104 và đang làm môi giới cho thuê, mua bán tại khu vực này. Hiện tại tôi đang có quỹ căn cho thuê và mua bán từ 1PN - 2PN - 3PN - 4PN đồ nguyên bản chủ đầu tư hoặc full đồ cho khách hàng lựa chọn. Bảng giá căn hộ như sau:- Căn hộ 1PN (46m² thông thuỷ): Giá chuyển nhưởnger nhất 1 tỷ 9 bao phí.- Căn hộ 2PN (78m² thông thuỷ): Giá chuyển nhượng rẻ nhất 3tỷ3 bao phí.- Căn hộ 3PN (94m² thông thuỷ): Giá chuyển nhượng rẻ nhất 3,8 tỷ bao phí.- Căn hộ 3PN (108m² thông thủy - nhà rộng): Giá chuyển nhượng rẻ nhất 3 tỷ 7 bao phí.- Căn hộ 4PN + 1 (137m² - 141m² thông thủy): Giá chuyển nhượng rẻ nhất 5 tỷ 5 bao phí.* Tiện ích:Nhận nhà ở luôn, Sunshine Garden đã và có tiện ích gì?- Siêu thị Sunshine Mart khai trương 08/03/2020.- Nhà thuốc An Tâm.- Khuôn viên cây xanh, đường dạo bộ, bể bơi thác tràn, vườn thượng uyển trên không với khung cảnh Châu Âu.- Trường mầm non quốc tế Sunshine Maple Bear với diện tích 1000m² tại tòa G3 khai trương tháng 6/2020.- Các shophouse ngay dưới chân tòa nhà với diện tích từ 100 - 300m² sắp đi vào hoạt động, với sự xuất hiện của các nhãn hàng nổi tiếng sẽ mang lại cho cư dân những trải nghiệm tiện ích đầy đủ và cao cấp.- Gym, yoga.* Nội thất chủ đầu tư bao gồm:- Hệ thống bếp và tủ bếp thương hiệu Hafele.- Điều hòa âm trần Daikin.- Full WC thương hiệu Kohler.- Đèn, trần thạch cao, sàn gỗ.Liên hệ em Cao Tuấn Anh0889 108 ***để đi xem căn hộ trực tiếp 24/7 và gặp chủ nhà. Tránh trường hợp bị quảng cáo 1 kiểu đến gặp lại 1 kiểu.- Sale lịch sự, nhiệt tình, tâm huyết với khách hàng và chủ nhà.- Hỗ trợ thủ tục từ A - Z vì tôi là cư dân ở đây.",Từ 1000000000 đến 5000000000,Từ 100 đến 500,Hà Nội
89,Nhà đất bán,3700000000,83,Bắc,Nam,Sổ đỏ/ Sổ hồng,,,2,2,,Nội thất đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-vinhomes-times-city-park-hill/danh-sach-cac-dang-ban-re-nhat-tai-thang-7-2023-lh-0906-289-228-pr37599832,"Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","C&C Homes đơn vị chuyển nhượng và cho thuê số 1 Times City Park Hill.Với đội ngũ chuyên viên tư vấn chuyên sâu và am hiểu pháp lý, với kinh nghiệm làm chuyển nhượng cho thuê tại Times City nhiều năm nên chúng tôi nhận được sự tin tưởng tuyệt đối từ phía cư dân nơi đây. Khi giao dịch căn hộ, chúng tôi có một phòng pháp lý chuyên hỗ trợ khách hàng và chủ nhà tất cả các hồ sơ giấy tờ, thủ tục pháp lý liên quan đến thủ tục mua bán và chuyển nhượng căn hộ.Quý khách hãy liên hệ để được tư vấn và chọn căn miễn phí:0906 289 ***.Danh sách các căn hộ chủ nhà gửi bán rẻ nhất tại Times City Park Hill, Park Hill Premium 7/ 2023.Bên khu T:Căn 75m² tầng trung tòa T1 giá 3.6 tỷ.Căn 95m² hướng nam tòa T2,3 giá 4.3 tỷ.Căn 108m² tòa T2,3 giá từ 5.1 tỷ.Căn 03 ngủ 118m² tầng trung tòa T3 giá từ 5.7 tỷ.Căn góc 110m² tầng trung tòa T5 giá 6 tỷ.Căn góc 110m² tầng trung tòa T6 giá 6.2 tỷ.Căn góc 110m² tòa T9 giá 6 tỷ full đồ đẹp mới tinh chưa ở.Căn 83m² tòa T8,9,11 giá từ 3.69 tỷ.Căn 90m² tòa T01 giá bán từ 3,8 tỷ.Căn 106m² tầng 11 T10 giá 5,3 tỷ.Căn 108m² tòa T567 giá từ 5.3 tỷ.Căn góc 04 ngủ 160m² tòa T11 giá từ 10 - 11 tỷ.Liên hệ hotline 24/7: Phạm Anh Ngọc0906 289 ***.Bên khu Park Hill:Căn 02 ngủ 70m² tầng trung bên Park 3 giá từ 4.2 tỷ bao phí.Căn 02 ngủ 80m² tầng trung Park 6 giá 4.2 tỷ có slot ô tô dưới hầm.Căn 02 ngủ 82m² tòa Park 8 giá từ 4.7 tỷ full nội thất đẹp.Căn 80m² tòa Park 5 giá 4.1 tỷ bao phí.Căn 86m² bên Park 5 giá 4.5 tỷ.Căn 03 ngủ 115m² tầng trung Park 6 giá 6.8 tỷ có slot ô tô dưới hầm.Căn 118m² tòa Park 7 view Quảng trưởng giá 6.8 tỷ.Căn 120m² tòa Park 8 giá 7.25 tỷ.Căn 3 ngủ 92m² tầng trung Park 1 giá 5.5 tỷ.Căn 88m tầng trung Park 8 view quảng trường giá 5 tỷ.Liên hệ hotline 24/7: Phạm Anh Ngọc0906 289 ***.Khu Premium:Căn 02 ngủ 68m² tầng trung Park 11 giá 3.8 tỷ.Căn 79m² tầng trung Park 12 giá 4,5 tỷ full nội thất.Căn 03 ngủ 100m² tầng trung tòa Park 9 giá 6 tỷ.Căn góc 03 ngủ tòa Park 12 giá 6.5 tỷ nhà mới tinh.Căn góc 04 ngủ 160m² tòa Park 10 giá 11.3 tỷ.Liên hệ hotline 24/7: Phạm Anh Ngọc0906 289 ***.Ngoài ra chúng tôi còn rất nhiều căn các loại diện tích khác nhau phù hợp với nhu cầu của khách hàng. Tất cả các căn làm việc giá đều công khai mình bạch giữa chủ nhà và khách hàng, bên công ty chúng tôi sẽ hỗ trợ toàn bộ thủ tục giấy tờ pháp lý cho hai bên.Liên hệ hotline 24/7: Phạm Anh Ngọc0906 289 ***.Web: Https://muabantimescity.com/",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội
90,Nhà đất bán,144000000,135,Bắc,Bắc,Sổ đỏ/ Sổ hồng,,,,,4,Không nội thất,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-lk-shophouse-hai-au-2-90m2-chi-tu-15-x-ty-song-lap-san-ho-135m2-chi-19-x-ty-pr37751820,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","1. LK kinh doanh HA2 diện tích 90m² mặt tiền 7,5m. Xây dựng 66,3m²/sàn tổng diện tích xây dựng 204,2m² sổ đỏ vĩnh viễn vị trí gần hồ nước ngọt 24,5ha, gần bệnh viện vinmec, mặt đường đôi 30m vỉa hè rộng rãi giá 15,5 tỷ.2. Biệt thự song lập San Hô 6 diện tích 135m² mặt tiền 9m² xây dựng 66m²/ sàn tổng diện tích xây dựng 223m² sổ đỏ vĩnh viễn vị trí trung tâm của khu san hô đối diện là công viên bể bơi, view bể bơi công viên, đường thông thoáng, gần hồ nước ngọt 24,5ha giá 19,5 tỷ.",Nhỏ hơn 500000000,Từ 100 đến 500,Hà Nội
91,Nhà đất bán,4100000000,72,,,Sổ đỏ/ Sổ hồng,,,2,2,,Full nội thất,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-vinhomes-d-capitale/ban-2n2w-82m2-ban-cong-dong-nam-view-tang-dep-gia-3-8-ty-lh-0985664900-pr31524501,"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội","TSH Land - đơn vị môi giới uy tín tại D'Capitale.Địa chỉ C2 - 0224.- Các căn hộ Studio, 1.5PN thuộc toà sở hữu 50 năm C2,5.- Các căn hộ 1PN, 2PN và 3PN thuộc các toà sổ lâu dài C1,3,6,7.- Ban công gồm hai hướng: Đông Nam hoặc Tây Bắc.- View hồ công viên Thanh Xuân và view thành phố.- Bàn giao: Full nội thất hoặc cơ bản đồ liền tường.LH xem căn hộ:0985 664 ***em Vũ).-------------------------Tổng hợp quỹ căn chuyển nhượng tại Vinhomes D'capitale.- Studio 38m² giá 1.8 tỷ - 1.9 tỷ.- 1.5PN 51m² giá 2.3 tỷ - 2.5 tỷ.- 2N1W 61m² giá 2.6 tỷ - 3.0 tỷ.- 2N2W 72m² giá 4.1 tỷ.- 2N2W 82m² giá 4.85 tỷ.- 3N2W 95m² giá 5.5 tỷ.- 3N2W 112m² giá 6.5 tỷ.- 3N2W 121m² giá 7.6 tỷ.LH chi tiết:0985 664 ***em Vũ).---------------------------------------------------* Đập thông toà vip 200m² giá 15.5 tỷ full đồ bao phí.* Cam kết với khách hàng:- Phương án căn hộ tốt nhất.- Hỗ trợ thủ tục từ A - Z.- Hỗ trợ làm sổ đỏ, cho thuê, bán lại giá tốt.",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội
92,Nhà đất bán,18000000000,93,,,,,,,,,,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-xien-xa-tan-trieu-prj-rue-de-charme/ban-lo-goc-p-nhat-phap-ly-day-du-xay-dung-hoan-thien-90-pr37668734,"Dự án Rue De Charme, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội","Trên quỹ đất hiếm tại trung tâm Quận Thanh Xuân có một siêu phẩm shophouse còn sót lại, lô góc, đẹp nhất cho khách hàng nhanh tay cùng cơ chế đặc biệt cho quỹ căn ngoại giao đẹp nhất Rue De Charme 214 Nguyễn Xiển.Bán lô góc shophouse đẹp nhất dự án Rue De Charme - 214 Nguyễn Xiển, pháp lý đầy đủ, đã xây dựng hoàn thiện 90%, được hỗ trợ vay vốn Ngân hàng.- Vị trí cực đẹp, mặt đường rộng từ 11.5m đến 30m, thuộc khu đô thị Hạ Đình có đầy đủ tiện ích: Trung tâm thương mại, trường học, bãi đỗ xe... Cách ngã tư Nguyễn Trãi - Nguyễn Xiển 300m.- Tiềm năng tăng giá tương lai khi dự án được bao quanh bởi 2 trục đường lớn sắp quy hoạch 30m Lương Thế Vinh kéo dài và đường 250 Nguyễn Xiển.- Diện tích đất 85 - 180m² xây dựng đến 90% diện tích đất, mặt tiền rộng thoáng 5.5m - 8m, xây theo phong cách tân cổ điển 5 tầng + 1 tum.- Tiêu chuẩn bàn giao: Xây thô, hoàn thiện mặt ngoài và cảnh quan.- Địa điểm: Thuộc khu vực Hạ Đình, Thanh Xuân, Hà Nội.- Thời gian dự kiến hoàn thành: Q4/2023.Pháp lý minh bạch đầy đủ, sổ đỏ sở hữu lâu dài.Thanh toán sớm chiết khấu 6.6%.Thanh toán theo tiến độ chiếu khấu 4%.Hỗ trợ vay Ngân Hàng 65% miễn lãi 0% trong 12 tháng, thời gian vay trong 20 năm.Liên hệ Em Ngân0976 491 ***hỗ trợ tư vấn 24/7!",Lớn hơn 5000000000,Từ 50 đến 100,Hà Nội
93,Nhà đất bán,3100000000,60,,,Sổ đỏ/ Sổ hồng,,,2,2,,,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/-2pn2vs-view-bien-chi-3-1-ty-toa-b-masteri-kng-co-thu-2-luon-pr37751045,"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","Căn 2PN2VS view biển Hồ Chỉ 3.1 tỷ tòa B - Masteri không có căn thứ 2 luôn ạ.View Hồ rộng, tầm nhìn thoáng.Giải quyết vấn đề để xe với tương đương 2,5 tầng hầm đỗ xe thông minh.Căn góc tầm view 2 bể bơi rộng và thoáng.Bàn giao nội thất đầy đủ thiết bị nhập khẩu cao cấp.Tối ưu không gian với khu vực + 1 thành phòng làm việc hoặc phòng ngủ nhỏ.Hưởng trọn 51 tiện ích đặc quyền Masteri West Heights.Sang trọng và đẳng cấp với 5 bể bơi trong 1 phân khu Masteri West Heights.Kính Low - e kịch trần đảm bảo cho ngôi nhà hè mát đông ấm quanh năm.Mua căn hộ Masteri West Heights còn thể hiện tầm nhìn, sự sang trọng đẳng cấp của người sở hữu căn hộ.Liên hệ0855 448 ***để có thêm thông tin chi tiết.",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội
94,Nhà đất bán,5200000000,125,Tây,Đông,,,,3,2,,Full nội thất,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/ban-south-3pn-view-dong-3wc-full-noi-that-gia-5-4ty-dt-0777777284-pr34356951,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh","Khu North: Quản lý 100% căn hộ Sunrise City, call:0777 777 ***.+ 53m² - 56m² giá 2.5 - 2,7 tỷ. Hỗ trợ vay ngân hàng 70% giá trị căn hộ trong 20 năm.+ 65m² giá 3,3 tỷ.+ 77m² giá 3,45 - 3.6 tỷ.+ 95m² giá 3,8 tỷ.+ 97m² giá 3,9 tỷ.+ 108m² giá 4.3 tỷ.+ 112m² giá 4.2 tỷ.+ 124m² giá 4.9 tỷ.Khu Central:+ 76m² giá 3.5 tỷ.+ 99m² giá 3.9 tỷ.+ 120m² giá 5,2 tỷ.+ 147m² giá 5.7 tỷ.Khu South:+ 59m², 1PN. Giá bán: 2.8 tỷ.+ 69m², 2PN. Giá bán: 3 tỷ.+ 99m², giá bán 4 tỷ.+ 102m², 2PN, 2WC. Giá bán: 4.05 tỷ.+ 106m², 2PN. Giá bán 4.4 tỷ.+ 130m², 3PN. Giá bán: 5.3 - 6.5 tỷ.+ 162m², 4PN. Giá bán: 6.5 - 8 tỷ.Căn hộ 288m² nhà mới 100% bán giá 11 tỷ, nhà thô.Căn hộ 288m² nội thất cao cấp Châu Âu, sân vườn rộng, vào ở liền giá 14 - 15 tỷ.Diện tích 347m² + 75m² sân vườn = 422m², có hồ bơi, giao nhà thô, giá 18,5 tỷ.- Diện tích 308m² + 232m² sân vườn = 540m², giá 20 tỷ.- Căn penthouse thông tầng diện tích 295m², giá 12 tỷ.Căn hộ penthouse đẹp rộng nhất Sunrise City 550m² + 200m² sân vườn, nhà mới 100% bán giá 22.5 tỷ.Căn hộ penthouse đẹp nhất Sunrise 850m² có 5 ban công căn góc view toàn thành phố bán 32 tỷ. Tiện ích 5 sao: Ngân hàng, siêu thị, spa, hồ bơi tràn, trung tâm thương mại...Vì sao quý khách nên chọn chúng tôi để mua hoặc thuê căn hộ Sunrise City.Bằng kinh nghiệm hơn 10 năm trong lĩnh BĐS chúng tôi cam kết.+ Luôn thương lượng cho anh/chị giá cả tốt nhất.+ Hỗ trợ thủ tục pháp lý nhanh gọn, chuyên nghiệp.+ Tư vấn thiết kế nội thất hoàn toàn miễn phí.+ Giảm từ 5 - 10% trên các hóa đơn thanh toán mua hàng điện máy và thiết bị điện tử.+ Uy tín - nhiệt tình - giá tốt nhất.+ Nắm nhiều key, xem nhà ngay. 24/7.",Lớn hơn 5000000000,Từ 100 đến 500,Hồ Chí Minh
